:LABEL,cs_hash,cs_name,dep_term,dst_var,full_inst,func_hash,func_name,graph,icfg_nid,icfg_node,inst_hash,ir_opcode,mem_hash,mr_id,n_hash:ID,node_name,node_type,pts_set,src_loc,src_var,ssa_ver,val_type
"PTACallGraphNode","","","","","","94015652827280","bad9","PTACG","","","","","","","94015658073952","PTACallGraphNode","0","","{ in line: 198 file: support/io.c }","","",""
"PTACallGraphNode","","","","","","94015652822816","bad8","PTACG","","","","","","","94015658073440","PTACallGraphNode","0","","{ in line: 197 file: support/io.c }","","",""
"PTACallGraphNode","","","","","","94015652820416","bad7","PTACG","","","","","","","94015658123072","PTACallGraphNode","0","","{ in line: 196 file: support/io.c }","","",""
"PTACallGraphNode","","","","","","94015652240304","goodB2G2.63","PTACG","","","","","","","94015658106512","PTACallGraphNode","0","","{ in line: 65 file: src/CWE675_Duplicate_Operations_on_Resource__fopen_13.c }","","",""
"PTACallGraphNode","","","","","","94015652239920","goodB2G1.62","PTACG","","","","","","","94015658106272","PTACallGraphNode","0","","{ in line: 41 file: src/CWE675_Duplicate_Operations_on_Resource__fopen_13.c }","","",""
"PTACallGraphNode","","","","","","94015652239536","CWE675_Duplicate_Operations_on_Resource__fopen_13_good","PTACG","","","","","","","94015658106032","PTACallGraphNode","0","","{ in line: 122 file: src/CWE675_Duplicate_Operations_on_Resource__fopen_13.c }","","",""
"PTACallGraphNode","","","","","","94015652233776","fclose","PTACG","","","","","","","94015658105792","PTACallGraphNode","0","","","","",""
"PTACallGraphNode","","","","","","94015652233392","fopen","PTACG","","","","","","","94015658105552","PTACallGraphNode","0","","","","",""
"PTACallGraphNode","","","","","","94015652233008","CWE675_Duplicate_Operations_on_Resource__fopen_13_bad","PTACG","","","","","","","94015658105312","PTACallGraphNode","0","","{ in line: 21 file: src/CWE675_Duplicate_Operations_on_Resource__fopen_13.c }","","",""
"PTACallGraphNode","","","","","","94015652232624","goodB2G1Sink","PTACG","","","","","","","94015658105072","PTACallGraphNode","0","","{ in line: 66 file: src/CWE122_Heap_Based_Buffer_Overflow__CWE135_21.c }","","",""
"PTACallGraphNode","","","","","","94015652232240","wcslen","PTACG","","","","","","","94015658104832","PTACallGraphNode","0","","","","",""
"PTACallGraphNode","","","","","","94015652231856","goodB2G2Sink","PTACG","","","","","","","94015658104592","PTACallGraphNode","0","","{ in line: 104 file: src/CWE122_Heap_Based_Buffer_Overflow__CWE135_21.c }","","",""
"PTACallGraphNode","","","","","","94015652231472","strcpy","PTACG","","","","","","","94015658104352","PTACallGraphNode","0","","","","",""
"PTACallGraphNode","","","","","","94015652231088","goodG2BSink","PTACG","","","","","","","94015658104112","PTACallGraphNode","0","","{ in line: 137 file: src/CWE122_Heap_Based_Buffer_Overflow__CWE135_21.c }","","",""
"PTACallGraphNode","","","","","","94015652230704","llvm.memset.p0i8.i64","PTACG","","","","","","","94015658103872","PTACallGraphNode","0","","","","",""
"PTACallGraphNode","","","","","","94015652230320","goodG2B","PTACG","","","","","","","94015658103632","PTACallGraphNode","0","","{ in line: 153 file: src/CWE122_Heap_Based_Buffer_Overflow__CWE135_21.c }","","",""
"PTACallGraphNode","","","","","","94015652290224","goodB2G2.54","PTACG","","","","","","","94015658103392","PTACallGraphNode","0","","{ in line: 120 file: src/CWE122_Heap_Based_Buffer_Overflow__CWE135_21.c }","","",""
